109.6,-161.0,-18.64,0.0,-128.0,176.0
109.96,-161.02,-17.79,-5.0,-130.0,194.0
110.31,-161.13,-16.7,-4.0,-129.0,210.0
110.69,-161.31,-15.56,15.0,-112.0,208.0
111.33,-161.54,-15.06,80.0,-70.0,157.0
112.4,-161.86,-15.87,186.0,-30.0,116.0
113.48,-162.67,-17.63,282.0,-14.0,123.0
114.11,-163.75,-19.37,318.0,-19.0,137.0
114.51,-164.56,-20.76,305.0,-56.0,138.0
114.81,-164.88,-21.71,268.0,-93.0,131.0
114.89,-164.15,-22.65,154.0,-97.0,135.0
114.75,-163.91,-23.36,93.0,-103.0,132.0
114.58,-164.19,-23.5,95.0,-120.0,121.0
114.08,-165.06,-23.42,102.0,-119.0,122.0
113.51,-165.75,-23.54,91.0,-109.0,119.0
113.15,-166.24,-24.02,73.0,-104.0,105.0
113.19,-166.56,-24.57,60.0,-106.0,97.0
113.41,-167.06,-24.9,66.0,-123.0,101.0
113.18,-167.47,-23.76,55.0,-145.0,78.0
111.13,-168.27,-19.14,72.0,-174.0,40.0
107.64,-170.33,-12.28,162.0,-141.0,-17.0
105.67,-173.66,-12.28,283.0,-93.0,-41.0
106.59,-177.59,-19.73,286.0,-82.0,-20.0
109.36,178.27,-32.55,229.0,-68.0,-9.0
114.22,174.82,-51.68,133.0,-71.0,35.0
122.71,172.35,-78.23,53.0,-50.0,149.0
131.19,171.73,-96.74,-52.0,-43.0,256.0
139.59,171.08,-109.46,-127.0,-47.0,354.0
147.24,171.41,-119.94,-209.0,-43.0,439.0
155.66,172.74,-131.35,-334.0,-19.0,538.0
-176.81,-152.12,-135.18,-626.0,157.0,764.0
-176.18,-152.94,-131.98,-632.0,182.0,770.0
-175.6,-153.63,-128.38,-623.0,214.0,774.0
-175.08,-154.23,-124.46,-607.0,251.0,783.0
-174.62,-154.78,-120.33,-588.0,290.0,795.0
-174.26,-155.34,-116.05,-563.0,329.0,808.0
-174.06,-156.01,-111.63,-524.0,368.0,822.0
-174.1,-156.82,-106.97,-467.0,408.0,836.0
-174.5,-157.71,-102.06,-398.0,460.0,848.0
-175.4,-158.55,-96.93,-327.0,531.0,854.0
173.96,-155.46,-70.29,12.0,711.0,688.0
163.04,-140.72,-49.95,214.0,712.0,-40.0
164.25,-140.06,-40.85,371.0,463.0,-43.0
157.74,-144.47,-42.4,278.0,334.0,15.0
153.21,-145.77,-46.53,133.0,223.0,64.0
150.25,-146.58,-47.11,66.0,164.0,88.0
147.75,-147.13,-46.53,65.0,152.0,84.0
145.92,-149.49,-46.24,42.0,127.0,130.0
144.2,-151.44,-45.85,73.0,102.0,161.0
141.69,-152.16,-46.34,70.0,96.0,181.0
139.13,-154.05,-47.55,57.0,88.0,187.0
136.22,-156.94,-50.06,27.0,73.0,197.0
134.23,-160.16,-51.09,-3.0,54.0,218.0
132.25,-163.54,-52.02,17.0,52.0,198.0
131.13,-166.64,-54.33,-1.0,-12.0,239.0
129.42,-168.53,-56.72,4.0,16.0,176.0
129.75,-170.76,-56.88,-8.0,-57.0,201.0
129.66,-173.56,-55.71,-31.0,-65.0,182.0
129.63,-177.43,-52.13,-4.0,-106.0,210.0
129.2,178.97,-49.25,-45.0,-127.0,191.0
177.6,-165.17,-146.29,-710.0,161.0,659.0
178.62,-164.81,-143.18,-708.0,193.0,676.0
179.66,-164.38,-139.62,-706.0,229.0,692.0
-179.3,-163.94,-135.53,-704.0,265.0,712.0
-178.33,-163.48,-130.87,-701.0,298.0,730.0
-177.5,-163.07,-125.61,-697.0,329.0,747.0
-176.86,-162.77,-119.78,-656.0,366.0,765.0
-176.49,-162.63,-113.47,-575.0,412.0,783.0
-176.47,-162.52,-106.73,-473.0,473.0,803.0
-176.95,-162.33,-99.68,-381.0,560.0,817.0
175.32,-157.67,-64.12,159.0,728.0,631.0
168.58,-142.26,-45.79,323.0,710.0,-136.0
171.85,-147.63,-43.03,453.0,339.0,110.0
165.69,-150.54,-44.79,276.0,253.0,146.0
162.8,-148.59,-47.99,78.0,170.0,138.0
161.06,-150.1,-46.46,77.0,136.0,140.0
159.21,-150.48,-45.28,102.0,129.0,150.0
156.88,-151.18,-45.96,128.0,111.0,198.0
154.25,-150.71,-46.61,87.0,85.0,229.0
151.24,-151.5,-47.23,80.0,73.0,235.0
148.5,-152.61,-47.79,96.0,78.0,245.0
144.73,-155.32,-49.46,83.0,52.0,262.0
140.31,-157.75,-51.88,67.0,59.0,236.0
136.31,-159.89,-54.5,70.0,47.0,221.0
132.66,-162.15,-56.79,16.0,21.0,218.0
130.29,-166.94,-57.12,-4.0,-12.0,243.0
128.88,-169.78,-56.67,-16.0,-51.0,246.0
126.82,-172.92,-54.23,-65.0,-80.0,231.0
125.82,-175.87,-49.05,-27.0,-193.0,240.0
123.1,-176.48,-42.03,21.0,-138.0,178.0
-154.75,-176.49,-155.34,-771.0,184.0,746.0
-154.18,-176.69,-154.85,-778.0,192.0,774.0
-153.62,-177.33,-154.15,-787.0,206.0,809.0
-153.15,-178.44,-153.1,-798.0,227.0,855.0
-152.82,-179.94,-151.73,-812.0,255.0,894.0
-152.69,178.34,-150.01,-826.0,289.0,936.0
-152.99,176.41,-147.68,-841.0,333.0,969.0
-153.91,174.19,-144.54,-857.0,370.0,998.0
-155.65,171.62,-140.37,-876.0,393.0,18.0
-158.43,168.87,-135.15,-896.0,409.0,20.0
170.77,164.47,-100.34,-585.0,544.0,907.0
138.4,-176.28,-71.27,247.0,502.0,377.0
130.42,-161.69,-74.24,267.0,439.0,-287.0
133.06,-167.99,-74.91,13.0,38.0,11.0
132.03,-171.12,-73.01,-55.0,-57.0,89.0
131.26,-169.81,-73.54,-170.0,-86.0,83.0
130.27,-169.56,-69.87,-125.0,-65.0,68.0
128.92,-168.9,-68.29,-84.0,-41.0,64.0
128.33,-168.83,-68.96,-93.0,-40.0,85.0
127.82,-169.44,-68.85,-105.0,-56.0,115.0
127.05,-170.25,-69.56,-79.0,-46.0,122.0
125.9,-171.86,-71.72,-78.0,-29.0,147.0
124.9,-174.53,-73.73,-87.0,-30.0,139.0
124.41,-178.06,-76.16,-107.0,-49.0,162.0
123.46,179.42,-79.5,-142.0,-40.0,131.0
123.25,176.94,-83.28,-180.0,-101.0,178.0
122.33,176.02,-85.48,-194.0,-78.0,137.0
121.67,174.93,-84.54,-205.0,-84.0,106.0
122.03,173.11,-79.9,-224.0,-135.0,117.0
122.23,172.31,-71.54,-197.0,-174.0,90.0
-35.02,-13.14,-169.42,-720.0,240.0,488.0
-34.88,-12.39,-165.39,-727.0,251.0,487.0
-35.03,-11.22,-160.96,-727.0,264.0,487.0
-35.45,-9.48,-156.17,-702.0,282.0,488.0
-36.12,-7.15,-151.09,-657.0,312.0,489.0
-37.02,-4.24,-145.85,-598.0,353.0,492.0
-38.16,-0.76,-140.55,-534.0,402.0,496.0
-39.48,3.18,-135.34,-485.0,463.0,503.0
-40.83,7.49,-130.22,-457.0,550.0,511.0
-42.05,12.24,-125.09,-439.0,659.0,521.0
-46.75,38.76,-101.94,-375.0,958.0,435.0
-51.9,65.49,-90.12,-381.0,886.0,-73.0
-32.31,71.48,-79.28,-121.0,456.0,9.0
-36.59,70.89,-80.08,-267.0,290.0,126.0
